"Education","Gross Household Income","Skill","Age","Marrital Status","Country","Gender","WeightedAIS","Vote"
"20 or above","Level 4 60~99k","Level 6","Age46-65","Married","Scotland","Male",-0.154500010245235,0
"20 or above","Level 2 20~39k","Level 5","Age36-45","Single","Wales","Male",-1.07916245560213,0
"20 or above","Level 4 60~99k","Level 5","Age46-65","Married","England","Female",0.626604122259897,1
"20 or above","Level 1 0~19k","Level 5","AgeOver85","Single","England","Female",1.93081106472975,1
"16 or under","Level 2 20~39k","Level 5","Age46-65","Married","Wales","Male",0.0848826560239278,0
"16 or under","Level 1 0~19k","Level 2","Age46-65","Single","England","Female",0.84691965716178,1
"16 or under","Level 1 0~19k","Level 1","Age46-65","Married","England","Male",2.29597560715543,1
"16 or under","Level 1 0~19k","Level 7","Age66-85","Single","Scotland","Female",-0.295961499881615,0
"20 or above","Level 2 20~39k","Level 4","Age66-85","Married","Wales","Male",-0.0290917387972416,0
"20 or above","Level 2 20~39k","Level 8","AgeOver85","Single","England","Female",-0.609158437925122,0
"16 or under","Level 2 20~39k","Level 6","Age66-85","Married","England","Male",-1.0953125558685,0
"20 or above","Level 3 40~59k","Level 4","Age66-85","Married","England","Female",-0.122572108123041,0
"16 or under","Level 1 0~19k","Level 1","Age46-65","Married","England","Female",0.845724310779656,1
"20 or above","Level 1 0~19k","Level 8","Age46-65","Single","England","Male",-0.196596367131841,0
"16 or under","Level 4 60~99k","Level 3","Age36-45","Married","Wales","Male",-0.0546642175121406,1
"16 or under","Level 1 0~19k","Level 2","Age46-65","Single","England","Male",1.24649910123351,1
"16 or under","Level 1 0~19k","Level 2","Age46-65","Married","England","Female",0.566316013214259,1
"20 or above","Level 4 60~99k","Level 5","Age36-45","Married","England","Male",-0.392476477904503,0
"17-19","Level 1 0~19k","Level 7","Age46-65","Single","England","Male",2.66872119372603,0
"20 or above","Level 4 60~99k","Level 8","Age46-65","Married","England","Male",-0.258047778640219,0
"16 or under","Level 2 20~39k","Level 7","Age46-65","Single","England","Male",-0.111403382888327,0
"20 or above","Level 3 40~59k","Level 6","Age36-45","Married","Scotland","Female",-0.172243003664082,0
"16 or under","Level 2 20~39k","Level 1","Age36-45","Single","England","Male",2.06484189711815,1
"16 or under","Level 2 20~39k","Level 7","Age66-85","Married","England","Male",0.494164283702452,1
"20 or above","Level 2 20~39k","Level 6","AgeOver85","Single","Scotland","Male",0.0159445083459216,1
"16 or under","Level 2 20~39k","Level 4","Age46-65","Married","England","Female",0.887474455410757,1
"16 or under","Level 1 0~19k","Level 6","Age36-45","Married","Scotland","Female",0,1
"16 or under","Level 1 0~19k","Level 7","Age66-85","Married","Wales","Female",0.134495758508453,1
"20 or above","Level 2 20~39k","Level 5","Age36-45","Married","Scotland","Female",-0.478156299526835,0
"16 or under","Level 2 20~39k","Level 5","Age46-65","Married","England","Female",2.32311381478252,1
"16 or under","Level 1 0~19k","Level 2","Age46-65","Single","Wales","Female",0.264515079633662,1
"17-19","Level 3 40~59k","Level 5","Age46-65","Single","Scotland","Male",-0.444368922488204,0
"16 or under","Level 3 40~59k","Level 6","Age46-65","Married","England","Female",0.106851654989621,1
